,init,0325,0401,0408,0415,0422,0429,0506,0513,0520,0527,1119,1126,1203,1210
Alaska,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Alabama,806,806,1716,1337,1270,1314,1298,1337,1337,1337,1337,1337,1337,1337,1337
Arkansas,300,282,254,300,300,300,300,300,300,300,300,300,300,294,300
Arizona,900,900,879,900,900,900,900,900,900,900,900,900,900,900,900
California,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622
Colorado,360,360,813,720,699,720,718,720,720,720,720,716,702,685,696
Connecticut,600,540,486,708,1198,1208,1375,752,836,836,836,836,836,836,836
Delaware,240,237,229,167,125,130,240,185,181,208,240,240,240,240,240
Florida,2400,2400,2069,2400,2268,2361,2323,2400,2400,2400,2400,2400,2400,2400,2400
Georgia,604,604,856,783,1190,963,1027,836,836,836,836,836,836,836,836
Hawaii,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Iowa,168,168,159,168,205,173,173,190,166,207,229,212,296,265,175
Idaho,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242
Illinois,957,957,1411,1294,1290,1294,1294,1291,1335,1572,1286,1275,1237,1264,1295
Indiana,1156,1077,984,1156,1156,1156,1156,1186,1149,1079,1157,1157,1157,1157,1157
Kansas,101,101,104,101,236,115,124,116,116,116,116,133,176,232,255
Kentucky,780,780,734,780,780,780,780,771,772,702,780,780,780,780,780
Louisiana,600,767,1246,957,957,957,957,957,957,957,957,957,957,957,957
Massachusetts,840,746,1009,1064,1517,1495,1875,1342,1368,1368,1368,1368,1368,1368,1368
Maryland,624,624,624,704,993,970,716,682,834,793,718,718,718,718,718
Maine,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149
Michigan,1020,1774,2453,2084,2084,2084,2084,2075,2084,2084,2084,2070,2019,2071,2084
Minnesota,830,830,830,830,826,830,830,827,830,822,821,810,752,799,830
Missouri,1099,1099,1013,1099,1015,1099,1097,1096,1091,1018,1091,1088,1065,1023,1058
Mississippi,240,224,279,281,281,281,281,281,281,281,281,281,281,281,281
Montana,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
North Carolina,1276,1276,1174,1276,1211,1253,1241,1276,1276,1276,1276,1276,1276,1276,1276
North Dakota,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
Nebraska,360,360,342,360,342,360,358,357,360,352,351,348,325,316,336
New Hampshire,600,578,586,527,474,427,384,600,600,600,600,600,600,600,600
New Jersey,736,1156,1447,1688,1974,2279,1816,2189,1834,1799,1819,1819,1819,1819,1819
New Mexico,378,378,363,378,378,378,378,378,378,378,378,378,378,372,378
Nevada,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
New York,1320,2390,3284,3720,3083,2837,2050,2520,2716,2785,2805,2805,2805,2805,2805
Ohio,1637,1538,1438,1493,1350,1215,1637,1464,1554,1617,1637,1637,1637,1637,1637
Oklahoma,480,480,459,480,466,480,478,480,480,480,480,476,465,508,432
Oregon,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480
Pennsylvania,1200,1037,939,1112,1171,1432,1425,1792,1689,1522,1428,1428,1428,1428,1428
Rhode Island,233,233,221,260,274,376,380,400,400,400,400,400,400,400,400
South Carolina,759,759,748,759,713,737,739,759,759,759,759,759,759,759,759
South Dakota,315,315,315,315,311,315,315,312,315,307,306,306,289,294,315
Tennessee,570,570,1091,915,862,892,895,915,915,915,915,915,915,915,915
Texas,5245,5213,4978,5245,5245,5245,5245,5245,5245,5245,5245,5245,5245,5239,5245
Utah,432,432,417,432,432,432,432,432,432,432,432,432,432,432,432
Virginia,1520,1520,1432,1504,1355,1283,1520,1507,1479,1499,1520,1520,1520,1520,1520
Vermont,125,223,162,130,104,84,146,188,203,203,203,203,203,203,203
Washington,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720
Wisconsin,372,342,327,372,368,372,372,369,364,324,363,414,522,409,372
West Virginia,420,420,420,362,299,272,420,368,324,385,420,420,420,420,420
Wyoming,108,108,103,108,108,108,108,108,108,108,108,108,108,108,108
District of Columbia,264,264,264,248,224,228,264,257,238,243,264,264,264,264,264
SNS,7200,5306,1515,655,138,37,20,11,9,7,6,4,4,4,4
