,init,0325,0401,0408,0415,0422,0429,0506,0513,0520,0527,1119,1126,1203,1210
Alaska,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Alabama,1075,1075,2744,2104,2046,2096,2085,2104,2104,2104,2104,2104,2104,2104,2104
Arkansas,400,400,286,400,400,400,400,400,400,400,400,400,400,400,400
Arizona,1200,1200,1042,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
California,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829
Colorado,480,480,813,480,478,480,480,480,480,480,480,480,480,480,474
Connecticut,800,640,512,1223,1954,1551,1581,1581,1581,1581,1581,1581,1581,1581,1581
Delaware,320,320,320,235,219,184,319,237,309,319,319,319,319,319,319
Florida,3200,3200,2560,3200,3142,3192,3181,3200,3200,3200,3200,3200,3200,3200,3200
Georgia,805,805,881,821,1186,974,1029,934,934,934,934,934,934,934,934
Hawaii,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
Iowa,224,224,224,224,224,224,224,223,212,217,229,224,296,266,224
Idaho,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
Illinois,1276,1276,1462,1276,1276,1276,1276,1285,1336,1570,1282,1276,1253,1269,1276
Indiana,1542,1542,1405,1542,1542,1542,1542,1540,1530,1467,1540,1542,1542,1542,1542
Kansas,134,134,134,134,238,230,230,230,230,230,230,230,230,233,254
Kentucky,1040,1040,1005,1040,1040,1040,1040,1038,1028,965,1038,1040,1040,1040,1040
Louisiana,800,800,1254,800,800,800,800,800,800,800,800,800,800,800,800
Massachusetts,1120,896,1047,1739,2662,2201,2231,2231,2231,2231,2231,2231,2231,2231,2231
Maryland,832,832,832,748,996,976,890,793,880,890,890,890,890,890,890
Maine,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Michigan,1360,2026,2458,2026,2026,2026,2026,2026,2026,2026,2026,2026,2016,2026,2026
Minnesota,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1106,1107,1084,1100,1107
Missouri,1466,1466,1423,1466,1464,1466,1466,1464,1454,1391,1463,1465,1451,1458,1460
Mississippi,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Montana,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
North Carolina,1702,1702,1501,1702,1644,1694,1683,1702,1702,1702,1702,1702,1702,1702,1702
North Dakota,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
Nebraska,480,480,446,480,478,480,480,480,480,480,479,480,466,472,474
New Hampshire,800,800,800,640,512,800,800,800,800,800,800,800,800,800,800
New Jersey,982,1343,1460,3306,2992,3162,2593,3083,2583,2593,2593,2593,2593,2593,2593
New Mexico,504,504,467,504,504,504,504,504,504,504,504,504,504,504,504
Nevada,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670
New York,1760,4613,6763,6973,5250,5168,5620,5163,5609,5619,5619,5619,5619,5619,5619
Ohio,2183,2183,1782,1902,2183,2183,2183,2081,2173,2183,2183,2183,2183,2183,2183
Oklahoma,640,640,588,640,638,640,640,640,640,640,640,640,640,639,634
Oregon,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Pennsylvania,1600,1280,1024,1138,1311,1627,1627,1949,1687,1627,1627,1627,1627,1627,1627
Rhode Island,310,310,310,295,357,504,444,444,444,444,444,444,444,444,444
South Carolina,1012,1012,975,1012,973,1004,993,1012,1012,1012,1012,1012,1012,1012,1012
South Dakota,420,420,420,420,420,420,420,420,420,420,419,420,406,413,420
Tennessee,760,760,1096,760,721,752,741,760,760,760,760,760,760,760,760
Texas,6993,6993,6607,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993
Utah,576,576,530,576,576,576,576,576,576,576,576,576,576,576,576
Virginia,2026,2026,1898,2026,1955,2002,2026,2026,2026,2026,2026,2026,2026,2026,2026
Vermont,166,232,186,112,206,265,265,265,265,265,265,265,265,265,265
Washington,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Wisconsin,496,496,494,496,496,496,496,494,484,434,493,495,521,488,495
West Virginia,560,560,560,449,551,536,560,485,550,560,560,560,560,560,560
Wyoming,144,144,138,144,144,144,144,144,144,144,144,144,144,144,144
District of Columbia,352,352,352,352,343,332,352,352,352,352,352,352,352,352,352
SNS,9600,6359,3342,564,0,0,0,0,0,0,0,0,0,0,0
