,init,0325,0401,0408,0415,0422,0429,0506,0513,0520,0527,1119,1126,1203,1210
Alaska,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Alabama,1075,1075,2657,2004,1948,1991,1981,2004,2004,2004,2004,2004,2004,2004,2004
Arkansas,400,400,302,400,400,400,400,400,400,400,400,400,400,400,400
Arizona,1200,1200,1071,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
California,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829
Colorado,480,480,815,480,477,480,480,480,480,480,480,480,480,480,473
Connecticut,800,640,512,1300,1969,1583,1613,1639,1639,1639,1639,1639,1639,1639,1639
Delaware,320,320,299,195,202,178,320,232,319,319,319,319,319,319,319
Florida,3200,3200,2560,3200,3144,3187,3177,3200,3200,3200,3200,3200,3200,3200,3200
Georgia,805,805,848,805,1190,977,1027,912,912,912,912,912,912,912,912
Hawaii,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
Iowa,224,224,224,224,224,224,224,222,212,220,229,224,295,266,224
Idaho,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
Illinois,1276,1276,1357,1276,1276,1276,1276,1286,1336,1572,1284,1276,1254,1268,1275
Indiana,1542,1542,1385,1542,1542,1542,1542,1540,1530,1469,1540,1542,1542,1542,1542
Kansas,134,134,134,134,240,228,228,228,228,228,228,228,228,232,256
Kentucky,1040,1040,1011,1040,1040,1040,1040,1038,1028,967,1038,1040,1040,1040,1040
Louisiana,800,801,1253,801,801,801,801,801,801,801,801,801,801,801,801
Massachusetts,1120,896,1014,1796,2639,2160,2230,2256,2256,2256,2256,2256,2256,2256,2256
Maryland,832,832,832,790,995,974,929,877,929,929,929,929,929,929,929
Maine,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Michigan,1360,1861,2457,1861,1861,1861,1861,1861,1861,1861,1861,1861,1851,1861,1861
Minnesota,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1106,1107,1085,1099,1106
Missouri,1466,1466,1423,1466,1463,1466,1466,1464,1454,1393,1463,1466,1451,1459,1460
Mississippi,320,320,307,320,320,320,320,320,320,320,320,320,320,320,320
Montana,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
North Carolina,1702,1702,1567,1702,1646,1689,1679,1702,1702,1702,1702,1702,1702,1702,1702
North Dakota,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
Nebraska,480,480,444,480,477,480,480,480,480,480,479,480,465,472,473
New Hampshire,800,800,800,640,512,800,800,800,800,800,800,800,800,800,800
New Jersey,982,1338,1457,3303,3001,3149,2626,3083,2626,2626,2626,2626,2626,2626,2626
New Mexico,504,504,463,504,504,504,504,504,504,504,504,504,504,504,504
Nevada,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670
New York,1760,4613,6796,6981,5347,5394,5711,5309,5711,5711,5711,5711,5711,5711,5711
Ohio,2183,2183,1800,2000,2183,2183,2183,2131,2183,2183,2183,2183,2183,2183,2183
Oklahoma,640,640,572,640,637,640,640,640,640,640,640,640,640,638,633
Oregon,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Pennsylvania,1600,1280,1024,1142,1485,1678,1760,1947,1760,1760,1760,1760,1760,1760,1760
Rhode Island,310,310,310,298,350,504,404,352,352,352,352,352,352,352,352
South Carolina,1012,1012,986,1012,956,999,989,1012,1012,1012,1012,1012,1012,1012,1012
South Dakota,420,420,420,420,420,420,420,420,420,420,419,420,405,413,420
Tennessee,760,760,1089,760,706,747,737,760,760,760,760,760,760,760,760
Texas,6993,6993,6577,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993
Utah,576,576,521,576,576,576,576,576,576,576,576,576,576,576,576
Virginia,2026,2026,1904,2026,2010,2017,2026,2026,2026,2026,2026,2026,2026,2026,2026
Vermont,166,231,185,111,205,264,264,264,264,264,264,264,264,264,264
Washington,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Wisconsin,496,496,404,496,496,496,496,494,484,423,493,496,522,489,496
West Virginia,560,560,560,481,544,551,560,509,560,560,560,560,560,560,560
Wyoming,144,144,138,144,144,144,144,144,144,144,144,144,144,144,144
District of Columbia,352,352,352,352,336,343,352,352,352,352,352,352,352,352,352
SNS,9600,6528,3630,566,0,0,0,0,0,0,0,0,0,0,0
