,init,0325,0401,0408,0415,0422,0429,0506,0513,0520,0527,1119,1126,1203,1210
Alaska,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Alabama,1075,1075,2236,2019,1953,1996,1986,2019,2019,2019,2019,2019,2019,2019,2019
Arkansas,400,400,360,400,400,400,400,400,400,400,400,400,400,400,400
Arizona,1200,1200,1166,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
California,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829,8829
Colorado,480,480,812,739,716,739,739,739,739,739,739,739,729,717,721
Connecticut,800,640,508,1163,1931,1430,1549,1375,1375,1375,1375,1375,1375,1375,1375
Delaware,320,295,300,215,167,146,320,242,320,320,320,320,320,320,320
Florida,3200,3200,2977,3200,3134,3177,3167,3200,3200,3200,3200,3200,3200,3200,3200
Georgia,805,805,870,852,1190,976,1027,862,862,862,862,862,862,862,862
Hawaii,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
Iowa,224,224,213,224,224,224,224,224,224,217,230,224,296,264,224
Idaho,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323
Illinois,1276,1276,1396,1344,1344,1344,1344,1344,1344,1571,1343,1344,1322,1336,1344
Indiana,1542,1433,1455,1542,1542,1542,1542,1542,1542,1487,1542,1542,1542,1542,1542
Kansas,134,134,133,134,239,139,139,139,139,139,139,139,175,233,255
Kentucky,1040,1040,1018,1039,1039,1039,1039,1039,1039,984,1039,1039,1039,1039,1039
Louisiana,800,800,1257,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091,1091
Massachusetts,1120,883,1014,1681,2567,1812,2100,1959,1959,1959,1959,1959,1959,1959,1959
Maryland,832,832,832,785,995,976,841,801,841,841,841,841,841,841,841
Maine,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Michigan,1360,1787,2457,2222,2222,2222,2222,2222,2222,2222,2222,2222,2212,2222,2222
Minnesota,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1106,1107,1085,1099,1107
Missouri,1466,1466,1425,1466,1435,1466,1466,1466,1466,1411,1465,1466,1444,1432,1404
Mississippi,320,320,317,320,320,320,320,320,320,320,320,320,320,320,320
Montana,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
North Carolina,1702,1702,1646,1702,1636,1679,1669,1702,1702,1702,1702,1702,1702,1702,1702
North Dakota,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
Nebraska,480,480,472,480,457,480,480,480,480,480,479,480,458,456,462
New Hampshire,800,787,789,631,505,800,719,800,800,800,800,800,800,800,800
New Jersey,982,1129,1458,3094,2722,3151,2200,3084,2200,2200,2200,2200,2200,2200,2200
New Mexico,504,504,495,504,504,504,504,504,504,504,504,504,504,504,504
Nevada,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670
New York,1760,4384,6666,6519,5198,4982,5499,4895,5717,5717,5717,5717,5717,5717,5717
Ohio,2183,2065,2092,1967,2183,2183,2183,2143,2183,2183,2183,2183,2183,2183,2183
Oklahoma,640,640,631,640,617,640,640,640,640,640,640,640,630,618,622
Oregon,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Pennsylvania,1600,1210,1018,1141,1215,1699,1813,1949,1813,1813,1813,1813,1813,1813,1813
Rhode Island,310,310,303,272,342,504,397,386,386,386,386,386,386,386,386
South Carolina,1012,1012,1007,1012,946,989,979,1012,1012,1012,1012,1012,1012,1012,1012
South Dakota,420,420,420,420,420,420,420,420,420,420,419,420,404,412,420
Tennessee,760,760,1097,955,889,932,922,955,955,955,955,955,955,955,955
Texas,6993,6993,6854,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993,6993
Utah,576,576,567,576,576,576,576,576,576,576,576,576,576,576,576
Virginia,2026,2026,1980,2026,1989,1996,2026,2026,2026,2026,2026,2026,2026,2026,2026
Vermont,166,223,151,91,67,197,170,197,197,197,197,197,197,197,197
Washington,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Wisconsin,496,446,429,496,496,496,496,496,496,441,495,496,522,488,496
West Virginia,560,560,560,530,523,530,560,520,560,560,560,560,560,560,560
Wyoming,144,144,141,144,144,144,144,144,144,144,144,144,144,144,144
District of Columbia,352,352,352,352,315,322,352,352,352,352,352,352,352,352,352
SNS,9600,7447,2585,278,15,5,2,2,2,2,2,2,2,2,2
