,init,0325,0401,0408,0415,0422,0429,0506,0513,0520,0527,1119,1126,1203,1210
Alaska,120,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Alabama,806,1210,2655,2582,2557,2582,2582,2582,2582,2582,2582,2582,2582,2582,2582
Arkansas,300,450,386,451,451,451,451,451,451,451,451,451,451,451,451
Arizona,900,1350,1288,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
California,6622,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932
Colorado,360,540,824,671,671,671,671,671,671,671,671,671,671,671,670
Connecticut,600,720,576,1325,2044,1786,1843,1844,1844,1844,1844,1844,1844,1844,1844
Delaware,240,360,360,288,230,194,360,278,360,360,360,360,360,360,360
Florida,2400,3600,3527,3600,3575,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
Georgia,604,905,905,905,1188,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063
Hawaii,320,481,481,481,481,481,481,481,481,481,481,481,481,481,481
Iowa,168,252,252,252,252,252,252,252,252,226,252,252,294,262,262
Idaho,242,364,364,364,364,364,364,364,364,364,364,364,364,364,364
Illinois,957,1436,1436,1436,1436,1436,1436,1436,1436,1573,1443,1443,1437,1443,1443
Indiana,1156,1734,1641,1734,1734,1734,1734,1734,1734,1708,1734,1734,1734,1734,1734
Kansas,101,151,137,151,246,246,246,246,246,246,246,246,246,246,254
Kentucky,780,1170,1170,1170,1170,1170,1170,1170,1170,1144,1170,1170,1170,1170,1170
Louisiana,600,900,1259,900,900,900,900,900,900,900,900,900,900,900,900
Massachusetts,840,1019,1056,1910,2753,2387,2444,2445,2445,2445,2445,2445,2445,2445,2445
Maryland,624,936,936,936,1000,1000,1000,962,1000,1000,1000,1000,1000,1000,1000
Maine,149,223,223,223,223,223,223,223,223,223,223,223,223,223,223
Michigan,1020,2079,2461,2079,2079,2079,2079,2079,2079,2079,2079,2079,2079,2079,2079
Minnesota,830,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1240,1246,1246
Missouri,1099,1649,1649,1649,1649,1649,1649,1649,1649,1623,1649,1649,1643,1649,1648
Mississippi,240,360,360,360,360,360,360,360,360,360,360,360,360,360,360
Montana,196,294,294,294,294,294,294,294,294,294,294,294,294,294,294
North Carolina,1276,1914,1893,1914,1889,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914
North Dakota,245,367,367,367,367,367,367,367,367,367,367,367,367,367,367
Nebraska,360,540,526,540,540,540,540,540,540,540,540,540,534,540,539
New Hampshire,600,900,900,900,738,900,900,900,900,900,900,900,900,900,900
New Jersey,736,1342,1458,3423,3000,3162,2554,3083,2566,2566,2566,2566,2566,2566,2566
New Mexico,378,567,553,567,567,567,567,567,567,567,567,567,567,567,567
Nevada,503,754,754,754,754,754,754,754,754,754,754,754,754,754,754
New York,1320,4921,7433,7125,6084,6148,6488,6031,6487,6487,6487,6487,6487,6487,6487
Ohio,1637,2456,2223,2456,2456,2456,2456,2418,2456,2456,2456,2456,2456,2456,2456
Oklahoma,480,720,700,720,720,720,720,720,720,720,720,720,720,720,719
Oregon,480,720,720,720,720,720,720,720,720,720,720,720,720,720,720
Pennsylvania,1200,1440,1152,1144,1530,1698,1800,1947,1812,1812,1812,1812,1812,1812,1812
Rhode Island,233,349,349,349,362,503,404,402,402,402,402,402,402,402,402
South Carolina,759,1138,1138,1138,1113,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
South Dakota,315,472,472,472,472,472,472,472,472,472,472,472,466,472,472
Tennessee,570,855,1092,1044,1019,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044
Texas,5245,7867,7567,7867,7867,7867,7867,7867,7867,7867,7867,7867,7867,7867,7867
Utah,432,648,633,648,648,648,648,648,648,648,648,648,648,648,648
Virginia,1520,2280,2259,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280
Vermont,125,228,182,146,215,228,228,228,228,228,228,228,228,228,228
Washington,720,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
Wisconsin,372,558,502,558,558,558,558,558,558,532,558,558,552,558,558
West Virginia,420,630,630,630,630,630,630,592,630,630,630,630,630,630,630
Wyoming,108,162,148,162,162,162,162,162,162,162,162,162,162,162,162
District of Columbia,264,396,396,396,396,396,396,396,396,396,396,396,396,396,396
SNS,7200,7811,3932,788,124,74,59,35,35,28,28,28,22,18,14
