,init,0325,0401,0408,0415,0422,0429,0506,0513,0520,0527,1119,1126,1203,1210
Alaska,120,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Alabama,806,1210,2647,2110,2106,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110
Arkansas,300,450,392,450,450,450,450,450,450,450,450,450,450,450,450
Arizona,900,1350,1313,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
California,6622,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932,9932
Colorado,360,540,810,680,680,680,680,680,680,680,680,680,680,680,680
Connecticut,600,737,590,1350,2044,1793,1831,1831,1831,1831,1831,1831,1831,1831,1831
Delaware,240,360,360,288,260,216,360,282,359,359,359,359,359,359,359
Florida,2400,3600,3063,3600,3596,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
Georgia,604,905,905,905,1187,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167
Hawaii,320,481,481,481,481,481,481,481,481,481,481,481,481,481,481
Iowa,168,252,252,252,252,252,252,252,252,230,252,252,298,274,274
Idaho,242,364,364,364,364,364,364,364,364,364,364,364,364,364,364
Illinois,957,1436,1436,1436,1436,1436,1436,1436,1436,1573,1463,1463,1459,1463,1463
Indiana,1156,1734,1560,1734,1734,1734,1734,1734,1734,1712,1734,1734,1734,1734,1734
Kansas,101,151,139,151,243,243,243,243,243,243,243,243,243,243,255
Kentucky,780,1170,1170,1170,1170,1170,1170,1170,1170,1148,1170,1170,1170,1170,1170
Louisiana,600,900,1252,900,900,900,900,900,900,900,900,900,900,900,900
Massachusetts,840,1223,1063,1961,2740,2353,2391,2391,2391,2391,2391,2391,2391,2391,2391
Maryland,624,936,936,936,995,990,990,962,990,990,990,990,990,990,990
Maine,149,223,223,223,223,223,223,223,223,223,223,223,223,223,223
Michigan,1020,1916,2458,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916
Minnesota,830,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1242,1246,1246
Missouri,1099,1649,1649,1649,1649,1649,1649,1649,1649,1627,1649,1649,1645,1649,1649
Mississippi,240,360,360,360,360,360,360,360,360,360,360,360,360,360,360
Montana,196,294,294,294,294,294,294,294,294,294,294,294,294,294,294
North Carolina,1276,1914,1914,1914,1910,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914
North Dakota,245,367,367,367,367,367,367,367,367,367,367,367,367,367,367
Nebraska,360,540,523,540,540,540,540,540,540,540,540,540,536,540,540
New Hampshire,600,900,900,900,768,900,900,900,900,900,900,900,900,900,900
New Jersey,736,1343,1456,3393,2980,3163,2718,3084,2764,2764,2764,2764,2764,2764,2764
New Mexico,378,567,550,567,567,567,567,567,567,567,567,567,567,567,567
Nevada,503,754,754,754,754,754,754,754,754,754,754,754,754,754,754
New York,1320,4683,7275,7109,6119,6493,6654,6393,6654,6654,6654,6654,6654,6654,6654
Ohio,1637,2456,2192,2456,2456,2456,2456,2428,2456,2456,2456,2456,2456,2456,2456
Oklahoma,480,720,703,720,720,720,720,720,720,720,720,720,720,720,720
Oregon,480,720,720,720,720,720,720,720,720,720,720,720,720,720,720
Pennsylvania,1200,1457,1166,1142,1681,1659,1799,1947,1845,1845,1845,1845,1845,1845,1845
Rhode Island,233,349,349,349,354,503,427,427,427,427,427,427,427,427,427
South Carolina,759,1138,1138,1138,1134,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
South Dakota,315,472,472,472,472,472,472,472,472,472,472,472,468,472,472
Tennessee,570,855,1115,1115,1111,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115
Texas,5245,7867,7573,7867,7867,7867,7867,7867,7867,7867,7867,7867,7867,7867,7867
Utah,432,648,631,648,648,648,648,648,648,648,648,648,648,648,648
Virginia,1520,2280,2280,2280,2279,2280,2280,2280,2280,2280,2280,2280,2280,2280,2280
Vermont,125,236,189,151,231,236,236,236,236,236,236,236,236,236,236
Washington,720,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
Wisconsin,372,558,454,558,558,558,558,558,558,536,558,558,554,558,558
West Virginia,420,630,630,630,629,630,630,602,630,630,630,630,630,630,630
Wyoming,108,162,149,162,162,162,162,162,162,162,162,162,162,162,162
District of Columbia,264,396,396,396,395,396,396,396,396,396,396,396,396,396,396
SNS,7200,7966,4606,1311,366,229,229,137,137,110,110,110,88,88,76
